Daily Time,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
68.18,28,71222.4,180.88,Intuitive exuding service-desk,Jamiefort,0,Ghana,06-05-2016 21:07,0
51.87,29,69646.35,191.82,Managed client-server access,West Christopher,1,Eritrea,09-07-2016 11:04,0
35.61,29,56113.37,200.71,Digitized zero-defect implementation,Evansfurt,0,Cameroon,18-07-2016 01:36,0
43.49,37,23936.86,109.29,Polarized analyzing concept,Westshire,0,Netherlands,20-06-2016 14:20,1
71.28,40,38067.08,140.46,Multi-tiered stable leverage,West Justin,0,China,22-04-2016 20:32,1
83.16,45,59886.58,174.88,Secured 24hour policy,Greerport,0,Taiwan,30-03-2016 16:15,1
56.16,33,53431.35,120.75,Function-based incremental standardization,Evansfurt,0,Cameroon,28-03-2016 23:01,0
42.04,37,68448.94,173.43,Cross-group non-volatile secured line,Lake James,0,Australia,05-01-2016 16:26,1
68.18,37,75180.2,217.37,Cross-group non-volatile secured line,Lake James,0,Australia,27-01-2016 12:38,0
79.52,26,51463.17,131.68,Customer-focused multi-tasking Internet solution,Jacksonstad,0,Albania,15-04-2016 15:07,0
78.64,31,61840.26,207.17,Optional full-range projection,Juliaport,1,French Polynesia,15-07-2016 05:05,0
89.05,41,63363.04,255.57,Synergistic reciprocal attitude,New Tina,1,Turkey,13-05-2016 11:57,1
71.84,39,54755.71,141.89,Networked asymmetric infrastructure,North Regina,1,Micronesia,23-01-2016 17:39,1
81.75,49,45632.51,124.32,Cloned explicit middleware,Jamesville,0,Equatorial Guinea,11-03-2016 00:05,0
89.05,44,34191.13,140.95,Synergistic reciprocal attitude,Michaelmouth,1,Micronesia,31-05-2016 23:42,1
54.43,28,73207.15,230.52,Cloned object-oriented benchmark,Westshire,0,Mayotte,08-05-2016 22:24,1
51.87,29,69646.35,190.12,Managed client-server access,East Troyhaven,1,Eritrea,17-03-2016 06:25,0
55.6,24,61601.05,132.63,Organic next generation matrix,Phelpschester,1,Somalia,09-01-2016 17:33,0
83.71,45,59610.81,174.88,Enhanced homogeneous moderator,Wintersfort,1,Micronesia,26-02-2016 09:54,1
55.6,24,52252.91,172.83,Horizontal client-server database,New Sonialand,1,Algeria,11-06-2016 08:38,0
80.3,49,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,1,Australia,04-04-2016 20:01,1
78.84,36,57519.64,236.87,Optional multi-state hardware,Wrightburgh,0,Ukraine,18-07-2016 01:36,0
47.64,60,69646.35,186.37,Programmable uniform website,Lisamouth,0,Australia,09-03-2016 00:41,1
42.04,37,58235.21,109.29,Virtual impactful algorithm,Lake James,1,Moldova,26-01-2016 02:47,0
40.17,26,35521.88,154.74,Intuitive radical forecast,Nelsonfurt,1,Guernsey,11-03-2016 06:49,0
75.42,30,57877.15,113.69,Total 5thgeneration standardization,Kristinfurt,0,Guinea,14-06-2016 07:02,1
41.73,28,71222.4,172.81,Centralized logistical secured line,Reyesfurt,0,Eritrea,15-02-2016 16:52,1
55.55,39,54755.71,194.37,Business-focused background synergy,Edwardsport,1,Belize,06-02-2016 23:08,1
51.87,37,60968.62,193.29,Cross-group non-volatile secured line,Browntown,0,Burundi,03-07-2016 04:11,0
66.18,34,34191.23,168.34,Cloned explicit middleware,Randolphport,1,Saint Vincent and the Grenadines,27-02-2016 08:52,1
46.61,55,57014.84,187.76,Function-based context-sensitive secured line,Hubbardmouth,0,Tonga,21-04-2016 09:30,1
69.88,23,58677.69,217.37,Streamlined homogeneous analyzer,Reyesfurt,0,Australia,04-04-2016 20:01,1
81.98,34,60637.62,140.67,Function-based incremental standardization,Kevinberg,1,Equatorial Guinea,24-03-2016 13:37,0
39.3,24,52252.91,182.2,Phased zero tolerance extranet,West Ricardo,0,Belize,03-01-2016 16:01,1
39.3,29,53431.35,158.56,Re-engineered zero-defect open architecture,South Lisa,0,Uganda,22-04-2016 22:01,1
51.24,54,53188.69,182.2,Virtual scalable secured line,West James,0,Lebanon,26-02-2016 19:48,1
46.61,40,75769.82,117.3,Total 5thgeneration standardization,North Cassie,0,Uganda,21-07-2016 10:54,1
44.4,32,69481.85,178.92,Business-focused transitional solution,Mauriceshire,1,Lebanon,09-01-2016 03:45,1
55.6,32,55424.24,172.83,Focused upward-trending core,Lisafort,0,Kuwait,28-04-2016 22:54,0
40.04,37,52563.22,217.37,User-friendly upward-trending intranet,West Lacey,0,Senegal,19-02-2016 20:49,0
32.6,33,55642.32,120.75,Multi-tiered foreground Graphic Interface,West Chloeborough,0,Myanmar,31-01-2016 05:12,0
90.75,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Namibia,27-02-2016 08:52,0
40.17,26,56694.12,202.18,Digitized contextually-based product,West Aprilport,0,Cameroon,03-01-2016 07:13,0
35.61,53,57877.15,154.23,Business-focused transitional solution,Olsonside,1,Bolivia,27-04-2016 04:28,1
81.98,22,73882.91,121.07,Business-focused value-added definition,Phelpschester,1,Samoa,03-07-2016 04:11,0
51.87,37,36884.23,139.32,Cross-group non-volatile secured line,Browntown,1,Ireland,09-03-2016 14:57,0
53.92,31,52178.98,207.17,Managed zero tolerance concept,West Angelabury,1,French Polynesia,08-07-2016 03:47,0
82.07,50,52736.33,123.13,Realigned content-based leverage,North Samantha,0,Malawi,24-06-2016 21:09,1
89.05,43,57868.44,121.28,Reverse-engineered maximized focus group,North Kimberly,0,Bangladesh,17-04-2016 21:39,1
51.24,26,46033.73,207.17,Realigned tangible collaboration,East Kevinbury,0,Guam,09-07-2016 11:18,0
53.92,42,61840.26,243.61,Public-key disintermediate emulation,Stewartbury,1,Saint Vincent and the Grenadines,01-05-2016 23:21,1
37.68,43,57868.44,198.45,Reverse-engineered maximized focus group,North Kimberly,1,Bangladesh,20-02-2016 20:47,1
51.24,36,59240.24,222.25,Integrated impactful groupware,North Michael,0,Qatar,18-07-2016 01:36,0
44.78,26,56694.12,131.68,Optional secondary access,East Kevinbury,0,Croatia,15-05-2016 13:18,0
62.42,43,32635.7,198.45,Optimized upward-trending productivity,Port Jeffrey,1,Turkey,03-04-2016 21:13,1
55.6,35,73889.99,219.91,Optional multi-state hardware,Wrightburgh,0,Ukraine,18-07-2016 01:36,0
41.67,36,70592.81,115.26,Team-oriented zero-defect initiative,Harrishaven,1,Korea,07-04-2016 15:18,0
61.22,25,63430.33,115.26,Reactive composite project,Lake Patrick,1,Georgia,28-04-2016 02:55,0
40.47,35,25603.93,236.87,Optional multi-state hardware,New Rebecca,0,Saint Vincent and the Grenadines,08-05-2016 22:47,1
79.81,34,34191.23,160.03,Cloned explicit middleware,Hawkinsbury,0,Turkmenistan,11-03-2016 00:05,0
69.42,34,40183.75,173.49,Function-based incremental standardization,Lake Amy,1,Equatorial Guinea,28-03-2016 23:01,0
46.61,26,56694.12,190.17,Reverse-engineered context-sensitive emulation,North Kimberly,0,Tonga,21-07-2016 10:54,1
68.01,33,56782.18,223.03,Reactive impactful challenge,Anthonyfurt,0,Greece,27-01-2016 18:25,1
66.08,43,52563.22,157.04,Optimized upward-trending productivity,Port Jeffrey,0,Northern Mariana Islands,13-05-2016 11:51,1
34.78,27,39193.45,131.29,Monitored object-oriented Graphic Interface,South Adam,1,Switzerland,12-01-2016 10:07,0
39.53,43,54251.78,195.69,Managed client-server access,New Thomas,1,Australia,11-03-2016 00:05,0
72.23,41,57846.68,238.06,De-engineered attitude-oriented projection,Hernandezside,0,Qatar,03-07-2016 04:11,0
54.37,35,61067.58,221.18,Secured secondary superstructure,Chrismouth,1,Myanmar,26-01-2016 02:47,0
68.61,40,73882.91,167.22,Inverse zero-defect capability,Ramirezton,0,Bangladesh,19-02-2016 20:49,0
82.07,43,56770.79,157.04,Reverse-engineered maximized focus group,Port Jeffrey,0,Bangladesh,15-01-2016 22:49,1
78.36,34,34191.23,203.84,Cloned explicit middleware,Patriciahaven,1,Namibia,11-03-2016 00:05,0
60.7,27,64021.55,234.75,Open-source coherent monitoring,Garciatown,0,Switzerland,03-07-2016 04:11,0
66.26,42,60514.05,238.58,Innovative interactive portal,Lake Jennifer,0,Costa Rica,06-04-2016 11:24,1
86.06,32,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Sao Tome and Principe,09-01-2016 03:45,0
40.17,45,59610.81,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,05-03-2016 12:03,1
55.6,24,52252.91,182.2,Focused upward-trending core,Lisafort,0,Algeria,28-04-2016 22:54,0
51.24,36,76003.47,140.46,Up-sized incremental encryption,North Randy,0,Uganda,12-03-2016 07:18,1
63.37,33,55015.08,178.69,Diverse modular interface,New Taylorburgh,1,Vanuatu,02-03-2016 04:02,0
55.6,35,25603.93,236.87,Optional multi-state hardware,West Roytown,0,Ukraine,11-06-2016 06:47,0
63.45,42,59243.46,243.61,Innovative interactive portal,Stewartbury,1,Czech Republic,06-04-2016 11:24,1
41.73,31,67307.43,207.17,Managed zero tolerance concept,West Angelabury,1,Singapore,19-05-2016 11:16,0
38.96,31,27262.51,207.17,Stand-alone radical throughput,Reginamouth,0,Czech Republic,12-04-2016 03:26,1
34.3,34,34191.23,173.49,Function-based incremental standardization,West Roytown,1,Equatorial Guinea,11-03-2016 00:05,0
65.59,37,48335.2,258.62,Vision-oriented attitude-oriented Internet solution,Lake Edward,0,Liechtenstein,27-02-2016 12:34,1
59.59,34,59785.94,160.03,Function-based incremental standardization,New Tinamouth,0,Turkmenistan,27-02-2016 08:52,0
55.6,39,42993.48,141.89,Optional full-range projection,Jacquelineshire,1,Korea,02-06-2016 21:02,0
59.51,52,58966.22,153.76,Self-enabling local strategy,Carterland,0,Belgium,11-01-2016 02:07,1
49.21,27,66815.54,239.32,Ergonomic 24/7 solution,East Brittanyville,0,Qatar,17-02-2016 18:50,0
43.49,37,43450.11,151.93,Managed client-server access,Mataberg,1,Tuvalu,09-03-2016 14:57,0
71.03,28,71222.4,217.37,Centralized logistical secured line,Jamiefort,0,Peru,15-07-2016 15:43,0
43.49,37,68448.94,158.56,Devolved human-resource circuit,West Brandonton,0,Australia,05-02-2016 16:50,1
81.58,41,50628.31,126.39,Fully-configurable neutral open system,West Lisa,1,Turkey,13-05-2016 11:57,1
67.85,52,64021.55,221.98,Upgradable optimizing toolset,Shawnside,1,Tuvalu,10-03-2016 23:36,1
74.54,50,71511.08,123.13,Realigned content-based leverage,Stewartbury,0,Saint Vincent and the Grenadines,18-06-2016 22:31,1
79.54,44,25603.93,227.63,Optional multi-state hardware,Palmerside,0,El Salvador,05-01-2016 17:56,1
71.33,39,38067.08,124.44,Intuitive exuding service-desk,Westshire,0,Mayotte,08-05-2016 22:24,1
89.05,41,50628.31,126.39,Synergistic reciprocal attitude,Michaelmouth,1,Tanzania,13-05-2016 11:57,1
38.37,32,55424.24,172.83,Focused upward-trending core,Lisafort,0,Bahamas,28-04-2016 22:54,0
60.23,43,73538.09,167.86,Optimized upward-trending productivity,Port Jeffrey,1,Eritrea,03-04-2016 21:13,1
69.86,33,41547.62,191.82,Customizable tangible hierarchy,Lake Annashire,1,Vanuatu,24-03-2016 06:36,0
55.92,34,40183.75,160.03,Ameliorated exuding encryption,New Tinamouth,0,Turkmenistan,11-03-2016 00:05,0
83.42,24,52252.91,167.22,Virtual executive implementation,West Ricardo,0,Poland,09-06-2016 17:11,1
74.06,39,53058.91,110.68,Horizontal national architecture,Westshire,0,Ireland,23-01-2016 17:39,1
52.84,42,43241.19,158.35,Innovative interactive portal,Hubbardmouth,0,Zimbabwe,06-04-2016 11:24,1
65.65,24,52252.91,182.2,Digitized content-based circuit,West James,0,Algeria,03-03-2016 22:31,0
39.3,27,56694.12,190.17,User-friendly upward-trending intranet,Ramirezton,0,Saint Vincent and the Grenadines,21-05-2016 01:36,1
68.88,42,66176.97,238.58,Multi-layered tangible portal,Lake Jennifer,0,Saudi Arabia,06-04-2016 11:24,1
83.71,38,47510.42,132.08,Profit-focused dedicated utilization,New Travistown,0,Madagascar,19-07-2016 12:05,1
66.12,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
44.11,31,61840.26,207.17,Sharable reciprocal project,North Katie,1,Maldives,16-06-2016 02:01,0
56.39,46,54286.1,130.86,Automated multi-state toolset,Lake Evantown,0,Belgium,06-04-2016 14:16,1
81.22,26,51463.17,235.29,Extended systemic policy,West Guybury,1,Nepal,08-01-2016 19:38,0
40.47,46,54286.1,253.48,Automated multi-state toolset,East Brittanyville,0,Burundi,05-07-2016 22:33,0
75.42,30,33293.78,176.98,Total 5thgeneration standardization,West Richard,0,Guinea,29-06-2016 10:50,1
43.49,37,23936.86,231.95,Managed client-server access,New Brandy,1,Australia,05-01-2016 16:26,0
66.08,46,40468.53,253.48,Automated multi-state toolset,South Jaimeview,0,Brazil,28-02-2016 23:10,0
56.39,40,40468.53,167.22,Fully-configurable incremental Graphical User Interface,Roberttown,0,Denmark,03-01-2016 16:01,1
59.51,54,48867.36,136.64,Automated stable help-desk,Roberttown,0,South Africa,31-03-2016 20:55,1
56.39,29,69646.35,191.82,Programmable uniform website,Mataberg,1,Portugal,19-07-2016 08:32,0
34.78,36,59240.24,140.46,Front-line bandwidth-monitored capacity,East John,0,Qatar,20-01-2016 19:09,0
55.6,28,74623.27,124.44,Intuitive exuding service-desk,New Brandy,0,Egypt,07-04-2016 15:18,0
66.77,26,56694.12,131.68,Optional secondary access,Evansfurt,0,Senegal,05-07-2016 18:59,0
80.47,43,57868.44,163.48,Reverse-engineered maximized focus group,Port Katelynview,0,Bulgaria,27-02-2016 15:04,1
51.24,54,38609.2,182.2,Virtual scalable secured line,East Jennifer,0,South Africa,26-02-2016 19:48,1
46.61,50,57868.44,122.31,Reverse-engineered maximized focus group,Jacobstad,0,Bangladesh,04-04-2016 18:36,1
79.54,41,57846.68,187.76,Function-based optimizing protocol,West Lisa,0,Cuba,31-01-2016 08:50,1
39.3,29,72203.96,198.5,Triple-buffered reciprocal time-frame,Mataberg,1,Iran,08-07-2016 03:47,0
55.6,39,65773.49,124.44,Intuitive exuding service-desk,Garciatown,0,Mauritius,12-01-2016 21:17,0
87.27,31,31281.01,141.96,Configurable dynamic adapter,New Tina,1,Czech Republic,21-06-2016 14:32,1
72.23,30,74535.94,140.46,De-engineered attitude-oriented projection,East John,0,Qatar,17-01-2016 18:45,0
75.55,36,76003.47,140.46,Inverse zero-defect capability,West Gregburgh,0,El Salvador,12-04-2016 04:22,1
78.79,36,32549.95,141.52,Ameliorated actuating workforce,Lake Patrick,1,Indonesia,30-03-2016 14:36,0
78.79,36,61610.05,141.52,Robust web-enabled attitude,Youngfort,1,Indonesia,03-01-2016 16:01,1
65.65,51,74535.94,188.56,Vision-oriented real-time framework,Reyesfurt,0,Bahamas,30-03-2016 23:40,1
73.49,26,55499.69,131.68,Extended systemic policy,Newmanberg,1,Kyrgyz Republic,08-01-2016 19:38,0
65.59,39,59677.64,124.44,Intuitive exuding service-desk,North April,0,Serbia,06-05-2016 21:07,0
34.3,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Samoa,27-02-2016 08:52,1
59.51,30,58677.69,184.88,Synchronized systemic hierarchy,South Adamhaven,0,Qatar,11-06-2016 06:47,0
40.04,34,59785.94,204.22,Cloned explicit middleware,Randolphport,1,Equatorial Guinea,27-02-2016 08:52,1
82.07,43,39616,163.48,Reverse-engineered maximized focus group,Port Jeffrey,0,Bangladesh,17-04-2016 21:39,1
56.39,46,40468.53,229.12,Configurable tertiary capability,Lake Evantown,0,Belgium,15-04-2016 15:07,1
42.04,37,53058.91,181.25,Profound dynamic attitude,East Tammie,0,Moldova,17-07-2016 14:26,1
41.73,31,61840.26,207.17,Integrated client-server definition,West Steven,1,Maldives,15-07-2016 05:05,0
50.19,25,50671.6,245.89,Synergized intangible open system,Gravesport,1,Georgia,11-03-2016 06:49,0
66,36,70592.81,115.26,Front-line bandwidth-monitored capacity,Hatfieldshire,1,Zimbabwe,23-05-2016 00:32,0
60.72,42,47258.59,129.8,Face-to-face mission-critical definition,Hubbardmouth,1,Czech Republic,19-05-2016 14:30,1
51.24,36,59240.24,140.46,Versatile transitional monitoring,North Randy,0,Cook Islands,03-01-2016 16:01,1
68.11,26,59457.52,131.68,Business-focused responsive website,Shelbyport,1,Senegal,08-01-2016 19:38,0
65.59,35,37334.78,143.79,Total cohesive moratorium,Williamsport,1,Mayotte,01-01-2016 15:14,1
86.06,32,69481.85,178.92,Business-focused transitional solution,Ryanhaven,1,Bolivia,09-01-2016 03:45,0
60.23,33,64147.86,130.86,Focused coherent success,Novaktown,1,Turkey,06-02-2016 17:48,1
71.03,39,23936.86,158.56,Synergistic value-added extranet,Westshire,0,Eritrea,27-02-2016 12:34,1
51.24,36,66269.49,140.46,Multi-layered fresh-thinking neural-net,North Brandon,0,Qatar,18-06-2016 19:10,0
69.62,34,34191.23,160.03,Cloned explicit middleware,Kingshire,1,Namibia,11-03-2016 00:05,0
89.34,32,55424.24,172.83,Focused upward-trending core,Lisafort,0,Venezuela,28-04-2016 22:54,0
71.03,28,70324.8,139.01,Intuitive exuding service-desk,South Jade,0,Liberia,20-03-2016 02:44,0
39.3,29,69718.19,196.61,Multi-lateral multi-state encryption,North Elizabeth,0,Uganda,21-04-2016 16:10,1
55.6,35,42993.48,221.18,Ergonomic methodical encoding,Williamport,1,Myanmar,04-03-2016 10:13,1
82.07,22,72553.94,133.2,Customizable modular Internet solution,Combsstad,0,Austria,19-02-2016 20:49,1
52.84,23,59243.46,223.93,Managed disintermediate capability,Hubbardmouth,1,Czech Republic,15-02-2016 16:52,0
89.05,44,61428.18,140.95,Focused multimedia implementation,Michaelmouth,0,Micronesia,05-01-2016 17:56,1
65.59,39,38067.08,110.68,Business-focused background synergy,New Brandy,1,Belize,08-05-2016 22:24,1
47.74,33,44174.25,227.37,Synchronized multi-tasking ability,Lake Deannaborough,1,Vanuatu,09-02-2016 05:28,0
65.77,23,25739.09,222.87,Function-based transitional complexity,Hubbardmouth,0,Serbia,27-04-2016 04:28,1
69.62,23,61617.98,172.81,Synchronized user-facing core,Hollandberg,1,United States Virgin Islands,21-07-2016 10:01,0
54.88,40,66873.9,167.22,Centralized 24/7 installation,East Carlos,0,New Caledonia,07-04-2016 03:56,0
66.08,22,67058.72,121.07,Customizable modular Internet solution,Combsstad,0,Austria,05-01-2016 12:59,0
51.24,30,59886.58,111.94,Team-oriented zero-defect initiative,Williamport,1,Puerto Rico,05-03-2016 23:02,0
78.84,36,29398.61,140.46,Up-sized incremental encryption,North Randy,0,Guinea,17-01-2016 18:45,1
71.28,54,53188.69,182.2,Up-sized 6thgeneration moratorium,Haleview,0,Liechtenstein,25-05-2016 20:10,1
68.88,42,78520.99,238.58,Exclusive zero tolerance frame,Hubbardmouth,0,Czech Republic,06-04-2016 11:24,1
36.08,45,59610.81,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,05-03-2016 12:03,1
84.98,40,66873.9,178.92,Organic next generation matrix,Phelpschester,1,Honduras,08-05-2016 10:25,0
70.44,48,52736.33,212.38,Monitored systematic hierarchy,Port Michaelmouth,1,Western Sahara,17-07-2016 01:13,1
72.97,26,56694.12,176.98,User-centric intermediate knowledge user,Port Katelynview,0,Bangladesh,09-05-2016 21:54,1
41.73,28,47258.59,217.37,Inverse local hub,Reyesfurt,0,Serbia,08-02-2016 07:33,0
86.06,35,51119.93,143.79,Total cohesive moratorium,Hansenmouth,1,Albania,18-03-2016 13:22,1
66.18,23,47258.59,217.37,Centralized logistical secured line,Reyesfurt,0,Eritrea,08-02-2016 07:33,1
73.89,28,67669.06,207.17,Sharable reciprocal project,New Michael,1,Sweden,08-07-2016 03:47,0
82.07,41,48335.2,126.39,Optional multi-state hardware,West Lisa,0,Bulgaria,27-01-2016 18:25,1
35.61,37,66187.58,236.87,Vision-oriented attitude-oriented Internet solution,North Randy,0,Albania,18-07-2016 01:36,1
77.14,33,41547.62,137.43,Customizable tangible hierarchy,New Taylorburgh,1,Vanuatu,03-06-2016 17:32,0
80.67,45,59610.81,195.69,Fully-configurable foreground solution,Wintersfort,1,Switzerland,17-03-2016 05:00,0
74.58,40,38067.08,167.22,Horizontal content-based synergy,West Ricardo,0,Uganda,17-02-2016 20:22,1
80.3,39,70324.8,138.87,Reverse-engineered 24hour hardware,Pamelamouth,0,Croatia,06-05-2016 21:07,0
83.4,49,45632.51,168.34,Streamlined homogeneous analyzer,Johnsontown,0,Brunei Darussalam,27-04-2016 04:28,1
61.22,45,59610.81,138.71,Enhanced homogeneous moderator,Wintersfort,1,Switzerland,05-03-2016 12:03,1
40.47,35,36884.23,236.87,Optional multi-state hardware,Wrightburgh,0,Ukraine,18-07-2016 01:36,0
66.12,34,59785.94,168.34,Cloned explicit middleware,Davidstad,0,Brunei Darussalam,11-03-2016 00:05,0
69.62,34,40183.75,204.22,Cloned explicit middleware,New Tinamouth,1,Hungary,27-02-2016 08:52,1
83.71,38,57868.44,130.83,Profit-focused dedicated utilization,Stewartbury,1,Western Sahara,19-05-2016 14:30,1
65.65,30,58677.69,122.59,Total 5thgeneration standardization,Reyesfurt,0,Qatar,29-06-2016 10:50,0
38.37,36,70592.81,140.46,Up-sized incremental encryption,Hatfieldshire,0,Ukraine,04-04-2016 22:00,0
70.39,27,66815.54,168.92,Reverse-engineered well-modulated capability,South Jeanneport,1,Ukraine,03-07-2016 04:11,0
71.84,41,57846.68,126.39,Customer-focused multi-tasking Internet solution,North Katie,1,Turkey,23-01-2016 18:59,1
41.73,41,50506.44,241.03,Pre-emptive next generation Internet solution,Daviesborough,0,Hong Kong,21-06-2016 14:32,0
35.49,36,59240.24,176.7,Intuitive exuding service-desk,North Brandon,0,Liberia,26-02-2016 19:48,0
49.21,29,69718.19,200.71,Front-line bandwidth-monitored capacity,Christinetown,0,Burundi,16-01-2016 16:40,0
51.24,36,59593.56,234.26,Operative stable moderator,Williamport,1,Korea,18-03-2016 13:00,0
35.61,30,40182.84,199.76,Phased hybrid superstructure,Harrisonmouth,0,Lao People's Democratic Republic,01-05-2016 23:21,1
79.52,45,59610.81,137.24,Enhanced homogeneous moderator,Wintersfort,1,Switzerland,10-07-2016 17:24,1
86.06,35,73889.99,226.54,Business-focused transitional solution,New Tinamouth,1,Bolivia,26-03-2016 19:37,1
54.88,33,39616,123.13,Compatible composite project,South Daniellefort,0,Finland,04-05-2016 05:01,1
35.49,49,45632.51,168.34,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,04-04-2016 20:01,1
70.39,36,32549.95,141.52,Ameliorated actuating workforce,Youngfort,1,Belize,27-02-2016 12:34,1
55.6,39,56180.93,116.53,Organized global flexibility,New Brandy,1,Luxembourg,08-05-2016 22:24,1
81.58,26,39723.97,131.68,Face-to-face even-keeled website,East Kevinbury,0,Albania,15-04-2016 15:07,1
39.96,45,59886.58,174.88,Secured 24hour policy,Greerport,0,Micronesia,05-03-2016 12:03,1
61.22,45,50723.67,174.88,Secured 24hour policy,Wintersfort,0,Taiwan,05-03-2016 12:03,1
75.42,26,50628.31,126.39,Enterprise-wide tangible model,East Kevinbury,1,Turkey,01-01-2016 15:14,1
83.71,42,57868.44,243.61,Innovative interactive portal,Stewartbury,1,Bosnia and Herzegovina,06-04-2016 11:24,1
41.73,25,59886.58,228.78,Integrated interactive support,East Kevinbury,1,Singapore,09-07-2016 11:18,0
76.56,34,34191.23,187.09,Ameliorated exuding encryption,Jamesville,0,Equatorial Guinea,11-03-2016 00:05,0
36.08,45,46197.59,174.88,Secured 24hour policy,Wintersfort,0,Taiwan,11-02-2016 04:37,1
70.09,33,73538.09,117.75,Focused coherent success,South George,1,Vanuatu,24-03-2016 06:36,1
60.53,41,63363.04,168.92,Synergistic reciprocal attitude,East Maureen,1,Cote d'Ivoire,13-05-2016 11:57,0
80.67,25,73941.91,140.46,Automated mobile model,New Michael,0,Lao People's Democratic Republic,03-01-2016 07:13,0
55.6,39,58287.86,141.89,Enterprise-wide tangible model,East Connie,1,American Samoa,14-01-2016 16:30,0
35.61,37,50960.08,225.58,Robust uniform framework,Wrightburgh,0,Cameroon,12-07-2016 10:56,0
40.04,23,56457.01,172.81,Customizable zero-defect Internet solution,Hollandberg,1,United States Virgin Islands,13-06-2016 22:41,0
37.87,43,32635.7,167.86,Optimized upward-trending productivity,Port Jeffrey,1,Northern Mariana Islands,03-04-2016 21:13,1
49.21,45,59886.58,190.17,De-engineered actuating hierarchy,East Kevinbury,0,Albania,05-07-2016 18:59,1
44.72,43,54106.21,157.04,Multi-tiered multi-state moderator,Port Jeffrey,0,Bangladesh,21-06-2016 13:15,1
80.51,38,71455.62,122.04,Synergized clear-thinking protocol,East Rachelview,0,Lao People's Democratic Republic,21-04-2016 09:30,1
